rxn,rxnName,GPR,lowMean,highMean,deltaFlux,absDeltaFlux,lowRange,highRange,rangeChange
ALATA_L,"L-alanine transaminase",ZMO1_ZMO1950 or ZMO1_ZMO0342 or ZMO1_ZMO1727 or ZMO1_ZMO0421 or ZMO1_ZMO1854,-0.0283733630538165,0.08296130516365,0.111334668217467,0.111334668217467,1999.94325327389,1999.79691652513,-0.146336748757449
VALTA,"Valine transaminase",ZMO1_ZMO0913,-0.0283733630585346,0.082961305152935,0.11133466821147,0.11133466821147,1999.94325327388,1999.79691652511,-0.146336748769272
PSERT,"Phosphoserine transaminase",ZMO1_ZMOp33x012 or ZMO1_ZMO1684,0.075720069373003,0.178918958231567,0.103198888858564,0.103198888858564,0.000164582236122174,0.000824462064804694,0.000659879828682521
PSP_L,"Phosphoserine phosphatase (L-serine)",ZMO1_ZMO1137,0.075720069373003,0.178918958231567,0.103198888858564,0.103198888858564,0.000164582236122174,0.000824462064804694,0.000659879828682521
NDPK2,"Nucleoside-diphosphate kinase (ATP:UDP)",ZMO1_ZMO0538,-4.70984795312534,-4.81286003220185,-0.103012079076509,0.103012079076509,9.46573190522986,9.64063892666831,0.174907021438452
PGCD,"Phosphoglycerate dehydrogenase",ZMO1_ZMO0157 or ZMO1_ZMO1237 or ZMO1_ZMO1685,0.0757201050853956,0.178510252845758,0.102790147760362,0.102790147760362,0.00016465355207277,7.05130083126365e-06,-0.000157602251241507
VPAMTr,"Valine-pyruvate aminotransferase",ZMO1_ZMO1854 or ZMO1_ZMO1727 or ZMO1_ZMO0342 or ZMO1_ZMO1950,-0.00799616779698908,0.0896265820349242,0.0976227498319133,0.0976227498319133,1999.94325617832,1999.79691652513,-0.146339653190125
NDPK3,"Nucleoside-diphosphate kinase (ATP:CDP)",( ZMO1_ZMO0538 ),-4.72741807820631,-4.63410521836392,0.093312859842384,0.093312859842384,9.46572756732336,9.64063901564704,0.174911448323686
THRA2,"L-allo-Threonine Aldolase",ZMO1_ZMO1201 or ZMO1_ZMO1347,500,499.907748478702,-0.092251521298067,0.092251521298067,1000,999.815496957404,-0.184503042596134
ATHRDHr,"L-allo-threonine dehydrogenase",ZMO1_ZMO0226 or ZMO1_ZMO1576 or ZMO1_ZMO1578,-500,-499.907748478702,0.092251521298067,0.092251521298067,1000,999.815496957404,-0.184503042596134
O2tpp,"O2 transport via diffusion (periplasm)",,-1.54222874323622e-06,-0.0922515877629913,-0.092250045534248,0.092250045534248,3.08445748647244e-06,1.32929734797393e-07,-2.95152775167505e-06
FEROpp,"Ferroxidase",ZMO1_ZMO1410 or ZMO1_ZMO1586,1.54222874323622e-06,0.0922515877629893,0.0922500455342461,0.0922500455342461,3.08445748647244e-06,1.3292972703971e-07,-2.95152775943273e-06
CAT,"Catalase",ZMO1_ZMO0918,4.61964677419747e-06,0.092251521298127,0.0922469016513528,0.0922469016513528,9.23929354839494e-06,1.20001231174172e-13,-9.23929342839371e-06
LPLIPAL2E141,"Lysophospholipase L2 (2-acylglycerophosphoethanolamine, n-C14:1)",,7.35347044173255e-06,0.0922529824038163,0.0922456289333746,0.0922456289333746,1.47069408834651e-05,0.184505964807633,0.184491257866749
LPLIPAL2E140,"Lysophospholipase L2 (2-acylglycerophosphoethanolamine, n-C14:0)",,7.55636691518805e-06,0.0922531287096252,0.09224557234271,0.09224557234271,1.51127338303761e-05,0.18450625741925,0.18449114468542
